lane,lane_class,conn,txn,exec,meta,type,err,res,jdbc_dotnet_parity_verdict,blocking_findings
cli,tooling,Implemented,Partial,Implemented,Partial,Partial,Implemented,Partial,out_of_scope_tooling_lane,"Tooling lane; TXN/META/TYPE/RES remain partial in lane-local mapping."
cpp,application_driver,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,full_parity,"None in lane-local baseline scope."
dart,application_driver,Implemented,Partial,Partial,Partial,Partial,Partial,Partial,partial,"TXN failure-path validation, portal suspend/resume and SBLR live coverage, metadata restriction/DDL payload coverage, complex-type live roundtrip coverage, live SQLSTATE/code propagation, live resilience cleanup coverage."
dotnet,application_driver,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,full_parity,"None in lane-local baseline scope."
elixir,application_driver,Implemented,Implemented,Partial,Implemented,Implemented,Implemented,Partial,partial,"No standalone public portal-resume helper and limited deterministic stream/paging proof; RES still fresh-connect-only rather than transparent in-place reconnect."
go,application_driver,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,full_parity,"None in lane-local baseline scope."
jdbc,application_driver,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,full_parity,"None in lane-local baseline scope."
mojo,application_driver_hybrid,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,hybrid_surface_complete_native_gap,"Baseline mapping marks all groups implemented, but README and checklist still show Python bridge/interoperability path and open native SBWP transport cutover."
node,application_driver,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,full_parity,"None in lane-local baseline scope."
odbc,application_driver,Implemented,Implemented,Implemented,Partial,Implemented,Implemented,Implemented,partial,"Broader full-family metadata parity and richer catalog surfaces remain incomplete."
pascal,application_driver,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,full_parity,"None in lane-local baseline scope."
php,application_driver,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,full_parity,"None in lane-local baseline scope."
python,application_driver,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,full_parity,"None in lane-local baseline scope."
r,application_driver,Partial,Implemented,Implemented,Partial,Implemented,Implemented,Implemented,partial,"Connection/auth integration coverage still environment-gated; richer privilege/key/type and DDL-editor metadata parity incomplete."
ruby,application_driver,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,full_parity,"None in lane-local baseline scope."
rust,application_driver,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,Implemented,full_parity,"None in lane-local baseline scope."
swift,application_driver,Implemented,Implemented,Partial,Partial,Partial,Partial,Partial,partial,"Live cancellation timing and portal suspend/resume coverage missing; metadata family completeness incomplete; advanced live codec coverage incomplete; live auth/connect error propagation incomplete; pool wait-queue/timeout/fault-recovery semantics incomplete."
