id,driver,lane,track,priority,wave,closure_groups,summary,required_gates,status
S8-001,ODBC,tracks/p3/drivers/odbc,alpha,P0,W4,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 lane closed on packaged runtime/catalog/type surface","ctest scratchbird_odbc_tests + metadata conformance suite + runtime stack integration",DONE
S8-002,CPP,tracks/p3/drivers/cpp,beta,P0,W4,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 lane closed on listener-mediated C/C++ client surface","scratchbird_client_tests + runtime stack integration + conformance harness",DONE
S8-003,DOTNET,tracks/p3/drivers/dotnet,alpha,P0,W2,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 lane closed including deterministic multi-result parity","dotnet test full lane + runtime stack integration + conformance suite",DONE
S8-004,GO,tracks/p3/drivers/go,alpha,P0,W1,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 lane closed on primary live surface","go test ./... + runtime stack integration + conformance suite",DONE
S8-005,RUST,tracks/p3/drivers/rust,alpha,P0,W2,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 lane closed including callable/generated-key residuals","cargo test + runtime stack integration + conformance suite",DONE
S8-006,NODE,tracks/p3/drivers/node,alpha,P0,W1,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 lane closed including routine metadata and session-schema residuals","npm test + runtime stack integration + conformance suite",DONE
S8-007,PYTHON,tracks/p3/drivers/python,alpha,P0,W1,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 lane closed including metadata/routine and schema fallback surfaces","pytest full lane + runtime stack integration + conformance suite",DONE
S8-008,PHP,tracks/p3/drivers/php,alpha,P0,W1,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 lane closed including routine metadata and convenience wrappers","phpunit full lane + runtime stack integration + conformance suite",DONE
S8-009,RUBY,tracks/p3/drivers/ruby,alpha,P1,W2,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 lane closed including cancel-path sequencing and resilience residuals","ruby test suite + runtime stack integration + conformance suite",DONE
S8-010,PASCAL,tracks/p3/drivers/pascal,alpha,P1,W2,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 lane closed including generated-key, routine, and stream-control residuals","pascal lane tests + runtime stack integration + conformance suite",DONE
S8-011,MOJO,tracks/p3/drivers/mojo,alpha,P2,W4,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 specialty lane closed on supported listener-mediated wire-bridge surface","mojo deterministic suites + runtime stack integration + conformance suite",DONE
S8-012,CLI,tracks/p3/drivers/cli,alpha,P1,W3,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 lane closed on declared CLI protocol surface","sbdriver_txn_exec_tests + sbdriver_metadata_shaping_tests + runtime stack integration",DONE
S8-013,DART,tracks/p3/drivers/dart,beta,P1,W3,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 beta lane closed on supported runtime surface","dart test full lane + runtime stack integration + conformance suite",DONE
S8-014,SWIFT,tracks/p3/drivers/swift,beta,P1,W3,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 beta lane closed on supported runtime surface","swift test full lane + runtime stack integration + conformance suite",DONE
S8-015,R,tracks/p3/drivers/r,beta,P1,W3,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 beta lane closed on supported runtime surface","testthat full lane + runtime stack integration + conformance suite",DONE
S8-016,JDBC,tracks/p3/drivers/jdbc,alpha,P1,W4,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 baseline lane re-certified including downstream consumer uplift","./gradlew test + runtime stack integration + conformance suite",DONE
S8-017,ELIXIR,tracks/p3/drivers/elixir,specialty,P1,W4,"CONN;TXN;EXEC;META;TYPE;ERR;RES","PH5 specialty lane closed on supported listener-mediated surface","mix test + runtime stack integration",DONE
S8-018,CROSS-LANE,docs/implementation_gates,shared,P0,W4,"S6;S7;conformance","Cross-lane promotion and closure docs regenerated after PH5 residual-free closure","refresh S7 promotion decisions + refresh S8 closure matrix/tracker + conformance checklist",DONE
