ticket,phase,driver,task,depends_on,deliverables,state
BIC-000,0,all,"Freeze current ScratchBird driver and adapter truth, confirm in-scope lanes, define benchmark scoring rubric, and standardize artifact naming/path rules.",None,"Workplan baseline, scoring rubric, artifact path rules",closed
BIC-CPP-001,1,cpp,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,cpp/REFERENCE_MANIFEST.csv; cpp/BEST_IN_CLASS_SELECTION.md; cpp/IMPLEMENTATION_ANCHORS.md,closed
BIC-CPP-002,2,cpp,Produce competitive gap report between ScratchBird C/C++ and the selected benchmark.,BIC-CPP-001,cpp/BEST_IN_CLASS_GAP_REPORT.md; cpp/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-CPP-003,3,cpp,Update C/C++ specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-CPP-002,"Updated cpp specs, API docs, and testing criteria",closed
BIC-CLI-001,1,cli,"Research candidate benchmark CLIs and download official docs, source snapshots, examples, release notes, packaging notes, and performance material.",BIC-000,cli/REFERENCE_MANIFEST.csv; cli/BEST_IN_CLASS_SELECTION.md; cli/IMPLEMENTATION_ANCHORS.md,closed
BIC-CLI-002,2,cli,Produce competitive gap report between ScratchBird CLI tooling and the selected benchmark.,BIC-CLI-001,cli/BEST_IN_CLASS_GAP_REPORT.md; cli/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-CLI-003,3,cli,Update CLI specifications and user-documentation requirements so ScratchBird CLI tooling is driven to parity or better than the selected benchmark.,BIC-CLI-002,"Updated CLI specs, docs, and testing criteria",closed
BIC-DART-001,1,dart,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,dart/REFERENCE_MANIFEST.csv; dart/BEST_IN_CLASS_SELECTION.md; dart/IMPLEMENTATION_ANCHORS.md,closed
BIC-DART-002,2,dart,Produce competitive gap report between ScratchBird Dart and the selected benchmark.,BIC-DART-001,dart/BEST_IN_CLASS_GAP_REPORT.md; dart/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-DART-003,3,dart,Update Dart specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-DART-002,"Updated Dart specs, API docs, and testing criteria",closed
BIC-DBEAVER-001,1,dbeaver,"Research candidate benchmark DBeaver extensions and download official docs, source snapshots, plugin manifests, update-site packaging examples, and metadata behavior anchors.",BIC-000,dbeaver/REFERENCE_MANIFEST.csv; dbeaver/BEST_IN_CLASS_SELECTION.md; dbeaver/IMPLEMENTATION_ANCHORS.md,closed
BIC-DBEAVER-002,2,dbeaver,Produce competitive gap report between ScratchBird DBeaver integration and the selected benchmark.,BIC-DBEAVER-001,dbeaver/BEST_IN_CLASS_GAP_REPORT.md; dbeaver/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-DBEAVER-003,3,dbeaver,Update DBeaver integration specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-DBEAVER-002,"Updated DBeaver specs, docs, and testing criteria",closed
BIC-DOTNET-001,1,dotnet,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,dotnet/REFERENCE_MANIFEST.csv; dotnet/BEST_IN_CLASS_SELECTION.md; dotnet/IMPLEMENTATION_ANCHORS.md,closed
BIC-DOTNET-002,2,dotnet,Produce competitive gap report between ScratchBird .NET and the selected benchmark.,BIC-DOTNET-001,dotnet/BEST_IN_CLASS_GAP_REPORT.md; dotnet/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-DOTNET-003,3,dotnet,Update .NET specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-DOTNET-002,"Updated .NET specs, API docs, and testing criteria",closed
BIC-ELIXIR-001,1,elixir,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,elixir/REFERENCE_MANIFEST.csv; elixir/BEST_IN_CLASS_SELECTION.md; elixir/IMPLEMENTATION_ANCHORS.md,closed
BIC-ELIXIR-002,2,elixir,Produce competitive gap report between ScratchBird Elixir/Ecto and the selected benchmark.,BIC-ELIXIR-001,elixir/BEST_IN_CLASS_GAP_REPORT.md; elixir/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-ELIXIR-003,3,elixir,Update Elixir/Ecto specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-ELIXIR-002,"Updated Elixir specs, API docs, and testing criteria",closed
BIC-GO-001,1,go,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,go/REFERENCE_MANIFEST.csv; go/BEST_IN_CLASS_SELECTION.md; go/IMPLEMENTATION_ANCHORS.md,closed
BIC-GO-002,2,go,Produce competitive gap report between ScratchBird Go and the selected benchmark.,BIC-GO-001,go/BEST_IN_CLASS_GAP_REPORT.md; go/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-GO-003,3,go,Update Go specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-GO-002,"Updated Go specs, API docs, and testing criteria",closed
BIC-HIBERNATE-001,1,hibernate,"Research candidate benchmark Hibernate dialects and download official docs, source snapshots, examples, release notes, and migration/tooling material.",BIC-000,hibernate/REFERENCE_MANIFEST.csv; hibernate/BEST_IN_CLASS_SELECTION.md; hibernate/IMPLEMENTATION_ANCHORS.md,closed
BIC-HIBERNATE-002,2,hibernate,Produce competitive gap report between ScratchBird Hibernate integration and the selected benchmark.,BIC-HIBERNATE-001,hibernate/BEST_IN_CLASS_GAP_REPORT.md; hibernate/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-HIBERNATE-003,3,hibernate,Update Hibernate integration specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-HIBERNATE-002,"Updated Hibernate specs, docs, and testing criteria",closed
BIC-JDBC-001,1,jdbc,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,jdbc/REFERENCE_MANIFEST.csv; jdbc/BEST_IN_CLASS_SELECTION.md; jdbc/IMPLEMENTATION_ANCHORS.md,closed
BIC-JDBC-002,2,jdbc,Produce competitive gap report between ScratchBird JDBC and the selected benchmark.,BIC-JDBC-001,jdbc/BEST_IN_CLASS_GAP_REPORT.md; jdbc/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-JDBC-003,3,jdbc,Update JDBC specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-JDBC-002,"Updated JDBC specs, API docs, and testing criteria",closed
BIC-METABASE-001,1,metabase,"Research candidate benchmark Metabase drivers and download official docs, source snapshots, examples, release notes, and packaging material.",BIC-000,metabase/REFERENCE_MANIFEST.csv; metabase/BEST_IN_CLASS_SELECTION.md; metabase/IMPLEMENTATION_ANCHORS.md,closed
BIC-METABASE-002,2,metabase,Produce competitive gap report between ScratchBird Metabase integration and the selected benchmark.,BIC-METABASE-001,metabase/BEST_IN_CLASS_GAP_REPORT.md; metabase/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-METABASE-003,3,metabase,Update Metabase integration specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-METABASE-002,"Updated Metabase specs, docs, and testing criteria",closed
BIC-MOJO-001,1,mojo,"Research candidate benchmark drivers and design anchors, then determine whether a true Mojo-native benchmark exists.",BIC-000,mojo/REFERENCE_MANIFEST.csv; mojo/BEST_IN_CLASS_SELECTION.md; mojo/IMPLEMENTATION_ANCHORS.md,closed
BIC-MOJO-002,2,mojo,Produce competitive gap report between ScratchBird Mojo and the selected benchmark or composite benchmark set.,BIC-MOJO-001,mojo/BEST_IN_CLASS_GAP_REPORT.md; mojo/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-MOJO-003,3,mojo,Update Mojo specifications so ScratchBird is driven to parity or better than the selected benchmark and closes the native-transport gap.,BIC-MOJO-002,"Updated Mojo specs, API docs, and testing criteria",closed
