lane,kind,current_state,benchmark,authoritative_spec,api_doc,getting_started_doc,verification_packet,research_packet,gap_report,offline_closure_target,dependencies
r2dbc,driver,planned_beta1,PostgreSQL R2DBC driver,docs/specifications/drivers/R2DBC_DRIVER_SPECIFICATION.md,docs/api-reference/r2dbc.md,docs/getting-started/r2dbc.md,docs/development/server-verification/r2dbc.md,docs/reference/beta1_expansion_server_independent_2026-04-03/r2dbc/BEST_IN_CLASS_RESEARCH.md,docs/audit/BETA1_EXPANSION_R2DBC_GAP_REPORT.md,implementation_ready_spec_plus_server_blocked_handoff,EXP-000
adbc,driver,planned_beta1,Apache Arrow ADBC PostgreSQL driver,docs/specifications/drivers/ADBC_DRIVER_SPECIFICATION.md,docs/api-reference/adbc.md,docs/getting-started/adbc.md,docs/development/server-verification/adbc.md,docs/reference/beta1_expansion_server_independent_2026-04-03/adbc/BEST_IN_CLASS_RESEARCH.md,docs/audit/BETA1_EXPANSION_ADBC_GAP_REPORT.md,implementation_ready_spec_plus_server_blocked_handoff,EXP-000
flightsql,driver,planned_beta1,Apache Arrow Flight SQL client stack,docs/specifications/drivers/FLIGHT_SQL_DRIVER_SPECIFICATION.md,docs/api-reference/flightsql.md,docs/getting-started/flightsql.md,docs/development/server-verification/flightsql.md,docs/reference/beta1_expansion_server_independent_2026-04-03/flightsql/BEST_IN_CLASS_RESEARCH.md,docs/audit/BETA1_EXPANSION_FLIGHTSQL_GAP_REPORT.md,implementation_ready_spec_plus_server_blocked_handoff,EXP-000
julia,driver,planned_beta1,LibPQ.jl,docs/specifications/drivers/JULIA_DRIVER_SPECIFICATION.md,docs/api-reference/julia.md,docs/getting-started/julia.md,docs/development/server-verification/julia.md,docs/reference/beta1_expansion_server_independent_2026-04-03/julia/BEST_IN_CLASS_RESEARCH.md,docs/audit/BETA1_EXPANSION_JULIA_GAP_REPORT.md,implementation_ready_spec_plus_server_blocked_handoff,EXP-000
perl,driver,planned_beta1,DBD::Pg,docs/specifications/drivers/PERL_DBI_DRIVER_SPECIFICATION.md,docs/api-reference/perl.md,docs/getting-started/perl.md,docs/development/server-verification/perl.md,docs/reference/beta1_expansion_server_independent_2026-04-03/perl/BEST_IN_CLASS_RESEARCH.md,docs/audit/BETA1_EXPANSION_PERL_GAP_REPORT.md,implementation_ready_spec_plus_server_blocked_handoff,EXP-000
dbt,adapter,planned_beta1,dbt-postgres,docs/application-reference/DBT_ADAPTER_COMPATIBILITY_SPECIFICATION.md,docs/api-reference/dbt.md,docs/getting-started/dbt.md,docs/development/server-verification/dbt.md,docs/reference/beta1_expansion_server_independent_2026-04-03/dbt/BEST_IN_CLASS_RESEARCH.md,docs/audit/BETA1_EXPANSION_DBT_GAP_REPORT.md,implementation_ready_spec_plus_server_blocked_handoff,EXP-000
airbyte,adapter,planned_beta1,Airbyte PostgreSQL source/destination,docs/application-reference/AIRBYTE_CONNECTOR_COMPATIBILITY_SPECIFICATION.md,docs/api-reference/airbyte.md,docs/getting-started/airbyte.md,docs/development/server-verification/airbyte.md,docs/reference/beta1_expansion_server_independent_2026-04-03/airbyte/BEST_IN_CLASS_RESEARCH.md,docs/audit/BETA1_EXPANSION_AIRBYTE_GAP_REPORT.md,implementation_ready_spec_plus_server_blocked_handoff,EXP-000
powerbi,adapter,planned_beta1,Power BI PostgreSQL / ODBC custom connector surface,docs/application-reference/POWERBI_COMPATIBILITY_SPECIFICATION.md,docs/api-reference/powerbi.md,docs/getting-started/powerbi.md,docs/development/server-verification/powerbi.md,docs/reference/beta1_expansion_server_independent_2026-04-03/powerbi/BEST_IN_CLASS_RESEARCH.md,docs/audit/BETA1_EXPANSION_POWERBI_GAP_REPORT.md,implementation_ready_spec_plus_server_blocked_handoff,EXP-000
tableau,adapter,planned_beta1,Tableau PostgreSQL / Named Connector SDK,docs/application-reference/TABLEAU_COMPATIBILITY_SPECIFICATION.md,docs/api-reference/tableau.md,docs/getting-started/tableau.md,docs/development/server-verification/tableau.md,docs/reference/beta1_expansion_server_independent_2026-04-03/tableau/BEST_IN_CLASS_RESEARCH.md,docs/audit/BETA1_EXPANSION_TABLEAU_GAP_REPORT.md,implementation_ready_spec_plus_server_blocked_handoff,EXP-000
looker,adapter,planned_beta1,Looker PostgreSQL dialect,docs/application-reference/LOOKER_COMPATIBILITY_SPECIFICATION.md,docs/api-reference/looker.md,docs/getting-started/looker.md,docs/development/server-verification/looker.md,docs/reference/beta1_expansion_server_independent_2026-04-03/looker/BEST_IN_CLASS_RESEARCH.md,docs/audit/BETA1_EXPANSION_LOOKER_GAP_REPORT.md,implementation_ready_spec_plus_server_blocked_handoff,EXP-000
