category_id,category_label,classification,beta1_requirement,notes
connection_config,Connection/config surface,at_parity,maintain_and_verify,Current lane truth is already competitive with psql in this category.
auth_tls,Auth/TLS/secrets,partial_gap,required_for_beta1,Current lane truth still trails psql in this category and requires explicit spec closure.
bootstrap_protocol,Protocol/bootstrap/connect,at_parity,maintain_and_verify,Current lane truth is already competitive with psql in this category.
transaction_model,Transactions/savepoints,partial_gap,required_for_beta1,Current lane truth still trails psql in this category and requires explicit spec closure.
execution_lifecycle,Prepared/batching/generated keys/callable or equivalent,at_parity,maintain_and_verify,Current lane truth is already competitive with psql in this category.
result_handling,Results/streaming/paging/cancellation,partial_gap,required_for_beta1,Current lane truth still trails psql in this category and requires explicit spec closure.
metadata_reflection,Metadata/schema discovery/reflection,partial_gap,required_for_beta1,Benchmarked metadata/reflection behavior in psql remains deeper than current ScratchBird lane truth.
type_fidelity,Type encode/decode and wrappers,partial_gap,required_for_beta1,Current lane truth still trails psql in this category and requires explicit spec closure.
error_surface,Error surfaces and diagnostics,at_parity,maintain_and_verify,Current lane truth is already competitive with psql in this category.
pooling_resilience,Pooling/resilience/reconnect/cleanup,partial_gap,required_for_beta1,Current lane truth still trails psql in this category and requires explicit spec closure.
observability,Observability/diagnostics,partial_gap,required_for_beta1,Current lane truth still trails psql in this category and requires explicit spec closure.
packaging_release,Package layout/release artifacts/cadence,partial_gap,required_for_beta1,"psql currently sets a higher bar for packaging, releases, and install ergonomics."
performance,Performance and benchmark evidence,partial_gap,required_for_beta1,ScratchBird lacks benchmark-backed evidence at the level expected from psql.
ecosystem_fit,Language/tool/application ecosystem expectations,partial_gap,required_for_beta1,psql is better aligned to mainstream ecosystem expectations today.
