ticket_id,phase,lane,kind,title,depends_on,status,deliverables,acceptance
EXP-000,phase0,all,program,Freeze Beta 1 expansion lane scope and output roots,,closed,"Update workplan/tracker assumptions; freeze the ten in-scope lanes, benchmark targets, authoritative file paths, and output roots in the planning package","Ten lanes confirmed; benchmark targets confirmed; authoritative file targets confirmed; research and gap-report roots confirmed"
EXP-001,phase1,r2dbc,driver,Publish best-in-class research and gap report for R2DBC,EXP-000,closed,"docs/reference/beta1_expansion_server_independent_2026-04-03/r2dbc/BEST_IN_CLASS_RESEARCH.md; docs/audit/BETA1_EXPANSION_R2DBC_GAP_REPORT.md","Benchmark references captured; capability families summarized; gap report distinguishes functional, packaging, and live-proof gaps"
EXP-002,phase1,adbc,driver,Publish best-in-class research and gap report for ADBC,EXP-000,closed,"docs/reference/beta1_expansion_server_independent_2026-04-03/adbc/BEST_IN_CLASS_RESEARCH.md; docs/audit/BETA1_EXPANSION_ADBC_GAP_REPORT.md","Benchmark references captured; Arrow-native capability expectations summarized; gap report published"
EXP-003,phase1,flightsql,driver,Publish best-in-class research and gap report for Flight SQL,EXP-000,closed,"docs/reference/beta1_expansion_server_independent_2026-04-03/flightsql/BEST_IN_CLASS_RESEARCH.md; docs/audit/BETA1_EXPANSION_FLIGHTSQL_GAP_REPORT.md","Benchmark references captured; transport/session expectations summarized; gap report published"
EXP-004,phase1,julia,driver,Publish best-in-class research and gap report for Julia,EXP-000,closed,"docs/reference/beta1_expansion_server_independent_2026-04-03/julia/BEST_IN_CLASS_RESEARCH.md; docs/audit/BETA1_EXPANSION_JULIA_GAP_REPORT.md","Benchmark references captured; host-language expectations summarized; gap report published"
EXP-005,phase1,perl,driver,Publish best-in-class research and gap report for Perl DBI,EXP-000,closed,"docs/reference/beta1_expansion_server_independent_2026-04-03/perl/BEST_IN_CLASS_RESEARCH.md; docs/audit/BETA1_EXPANSION_PERL_GAP_REPORT.md","Benchmark references captured; DBI expectations summarized; gap report published"
EXP-006,phase1,dbt,adapter,Publish best-in-class research and gap report for dbt,EXP-000,closed,"docs/reference/beta1_expansion_server_independent_2026-04-03/dbt/BEST_IN_CLASS_RESEARCH.md; docs/audit/BETA1_EXPANSION_DBT_GAP_REPORT.md","Benchmark references captured; adapter/materialization expectations summarized; gap report published"
EXP-007,phase1,airbyte,adapter,Publish best-in-class research and gap report for Airbyte,EXP-000,closed,"docs/reference/beta1_expansion_server_independent_2026-04-03/airbyte/BEST_IN_CLASS_RESEARCH.md; docs/audit/BETA1_EXPANSION_AIRBYTE_GAP_REPORT.md","Benchmark references captured; connector contract expectations summarized; gap report published"
EXP-008,phase1,powerbi,adapter,Publish best-in-class research and gap report for Power BI,EXP-000,closed,"docs/reference/beta1_expansion_server_independent_2026-04-03/powerbi/BEST_IN_CLASS_RESEARCH.md; docs/audit/BETA1_EXPANSION_POWERBI_GAP_REPORT.md","Benchmark references captured; connectivity/modeling expectations summarized; gap report published"
EXP-009,phase1,tableau,adapter,Publish best-in-class research and gap report for Tableau,EXP-000,closed,"docs/reference/beta1_expansion_server_independent_2026-04-03/tableau/BEST_IN_CLASS_RESEARCH.md; docs/audit/BETA1_EXPANSION_TABLEAU_GAP_REPORT.md","Benchmark references captured; connector/dialect expectations summarized; gap report published"
