driver,scenario,mode,status,details
ODBC,feature_discovery,managed/listener,passed,"front door + manager + tls fields detected"
ODBC,feature_discovery,cancel_timeout,passed,"cancel/timeout code path exists"
DOTNET,feature_discovery,managed/listener,passed,"front door + manager + tls fields detected"
DOTNET,feature_discovery,cancel_timeout,passed,"cancel/timeout code path exists"
JDBC,feature_discovery,managed/listener,passed,"front door + manager + tls fields detected"
JDBC,feature_discovery,cancel_timeout,passed,"cancel/timeout code path exists"
GO,feature_discovery,managed/listener,passed,"front door + manager + tls fields detected"
GO,feature_discovery,cancel_timeout,passed,"cancel/timeout code path exists"
PYTHON,feature_discovery,managed/listener,passed,"front door + manager + tls fields detected"
PYTHON,feature_discovery,cancel_timeout,passed,"cancel/timeout code path exists"
R,feature_discovery,managed/listener,passed,"front door + manager + tls fields detected"
R,feature_discovery,cancel_timeout,passed,"cancel/timeout code path exists"
JAVA_NODE,feature_discovery,managed/listener,passed,"front door + manager + tls fields detected"
JAVA_NODE,feature_discovery,cancel_timeout,passed,"cancel/timeout code path exists"
ODBC,runtime,managed/listener,skipped,"PLATFORM304_DRY_RUN=1"
DOTNET,runtime,managed/listener,skipped,"PLATFORM304_DRY_RUN=1"
JDBC,runtime,managed/listener,skipped,"PLATFORM304_DRY_RUN=1"
COMMON,runtime,auth_reconnect,skipped,"runtime scenarios not executed in dry run"
COMMON,overall,managed/listener,passed,"static feature matrix generated; runtime phases optional"
