driver,lane_path,current_parity_state,current_truth_inputs,candidate_benchmark_pool,research_goal,reference_packet_root,gap_report_root,spec_targets,priority
cpp,tracks/p3/drivers/cpp,complete,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","libpqxx; SOCI; nanodbc","Determine whether ScratchBird C/C++ should benchmark against the strongest direct relational client, the strongest idiomatic C++ wrapper, or both; capture ABI, pooling, statement reuse, metadata, and advanced type behavior.","docs/reference/best_in_class_driver_research_2026-04-03/cpp/","docs/audit/best_in_class_driver_gaps_2026-04-03/cpp/","docs/specifications/drivers/language/cpp/SPECIFICATION.md; docs/api-reference/cpp.md; docs/getting-started/cpp.md",P1
cli,tracks/p3/drivers/cli,partial_tooling,"BASELINE_REQUIREMENT_MAPPING.md; README.md; S2_TXN_EXEC_IMPLEMENTATION.md; S3_METADATA_IMPLEMENTATION.md; docs/planning/driver-checklists/cli.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","psql; usql; MySQL Shell; sqlcmd","Determine the best-in-class interactive and scriptable database CLI patterns for connection bootstrap, scripting, transaction control, metadata inspection, import/export, output formatting, diagnostics, and automation so ScratchBird CLI can reach full Beta 1 tooling quality.","docs/reference/best_in_class_driver_research_2026-04-03/cli/","docs/audit/best_in_class_driver_gaps_2026-04-03/cli/","docs/specifications/drivers/CLI_TOOLS_SPECIFICATION.md; docs/user-documentation/tools/README.md; docs/planning/driver-checklists/cli.md; tracks/p3/drivers/cli/README.md",P0
dart,tracks/p3/drivers/dart,partial,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/DRIVER_DART_DATABASE_API.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","dart-postgres/postgres; mysql1 or mysql_client; sqlite3 package","Identify the strongest direct Dart database driver patterns for async execution, streaming, transaction semantics, metadata, and typed codecs, then define what ScratchBird Dart must add to reach or exceed that bar.","docs/reference/best_in_class_driver_research_2026-04-03/dart/","docs/audit/best_in_class_driver_gaps_2026-04-03/dart/","docs/specifications/DRIVER_DART_DATABASE_API.md; docs/getting-started/dart.md; docs/api-reference/dart.md",P0
dbeaver,tracks/alpha/integrations/scratchbird-dbeaver-driver,partial_plugin,"README.md; docs/specifications/drivers/JDBC_DRIVER_SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","DBeaver PostgreSQL extension; DBeaver MySQL extension; DBeaver SQL Server extension","Determine the strongest DBeaver extension behavior for navigator metadata, DDL editors, explain integration, driver packaging, update-site distribution, and enterprise install ergonomics; define what ScratchBird must add to become a first-class DBeaver target.","docs/reference/best_in_class_driver_research_2026-04-03/dbeaver/","docs/audit/best_in_class_driver_gaps_2026-04-03/dbeaver/","docs/application-reference/DBEAVER_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/dbeaver.md; docs/getting-started/dbeaver.md; tracks/alpha/integrations/scratchbird-dbeaver-driver/README.md",P0
dotnet,tracks/p3/drivers/dotnet,complete,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/drivers/language/dotnet-csharp/SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","Npgsql; Microsoft.Data.SqlClient; MySqlConnector","Determine the strongest ADO.NET benchmark for provider completeness, pooling, cancellation, diagnostics, metadata, batching, and high-load behavior; produce a closure spec that makes ScratchBird equal or better.","docs/reference/best_in_class_driver_research_2026-04-03/dotnet/","docs/audit/best_in_class_driver_gaps_2026-04-03/dotnet/","docs/specifications/drivers/language/dotnet-csharp/SPECIFICATION.md; docs/api-reference/dotnet.md; docs/getting-started/dotnet.md",P0
elixir,tracks/p3/drivers/elixir,partial,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/DRIVER_ELIXIR_ECTO_ADAPTER.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","Postgrex; MyXQL; Tds; Ecto SQL adapters","Determine the best-in-class Elixir direct driver plus Ecto adapter behavior for query streaming, transactions, pooling, telemetry, metadata, and error surfaces; close ScratchBird’s EXEC/RES gaps accordingly.","docs/reference/best_in_class_driver_research_2026-04-03/elixir/","docs/audit/best_in_class_driver_gaps_2026-04-03/elixir/","docs/specifications/DRIVER_ELIXIR_ECTO_ADAPTER.md; docs/getting-started/elixir.md; docs/api-reference/elixir.md",P0
go,tracks/p3/drivers/go,complete,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/drivers/language/golang/SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","pgx; go-sql-driver/mysql; go-mssqldb","Determine whether pgx remains the best direct-comparison benchmark for Go database/sql plus native APIs, and identify any remaining areas where ScratchBird Go should exceed it.","docs/reference/best_in_class_driver_research_2026-04-03/go/","docs/audit/best_in_class_driver_gaps_2026-04-03/go/","docs/specifications/drivers/language/golang/SPECIFICATION.md; docs/api-reference/go.md; docs/getting-started/go.md",P0
hibernate,tracks/alpha/integrations/scratchbird-hibernate-dialect,partial_contract_only,"README.md; examples/README.md; docs/specifications/drivers/JDBC_DRIVER_SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","Hibernate PostgreSQLDialect; Hibernate SQLServerDialect; Hibernate MySQLDialect","Determine the strongest Hibernate dialect behavior for DDL generation, identifier quoting, paging/locking, type contributions, schema tooling, and transaction/savepoint semantics so ScratchBird Hibernate can be equal to or better than the strongest mainstream dialects.","docs/reference/best_in_class_driver_research_2026-04-03/hibernate/","docs/audit/best_in_class_driver_gaps_2026-04-03/hibernate/","docs/application-reference/HIBERNATE_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/hibernate.md; docs/getting-started/hibernate.md; tracks/alpha/integrations/scratchbird-hibernate-dialect/README.md",P0
jdbc,tracks/p3/drivers/jdbc,complete,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/drivers/JDBC_DRIVER_SPECIFICATION.md; docs/specifications/drivers/language/java-jdbc/SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","pgjdbc; MySQL Connector/J; Microsoft JDBC Driver for SQL Server","Determine the strongest JDBC benchmark for DatabaseMetaData breadth, prepared statements, large object handling, pooling, multi-result behavior, and release discipline; identify where ScratchBird JDBC can exceed it.","docs/reference/best_in_class_driver_research_2026-04-03/jdbc/","docs/audit/best_in_class_driver_gaps_2026-04-03/jdbc/","docs/specifications/drivers/JDBC_DRIVER_SPECIFICATION.md; docs/specifications/drivers/language/java-jdbc/SPECIFICATION.md; docs/api-reference/jdbc.md; docs/getting-started/jdbc.md",P0
metabase,tracks/alpha/integrations/scratchbird-metabase-driver,partial_adapter,"README.md; docs/application-reference/METABASE_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/metabase.md; docs/getting-started/metabase.md; docs/planning/driver-checklists/metabase.md; docs/specifications/drivers/JDBC_DRIVER_SPECIFICATION.md","Metabase PostgreSQL driver; Metabase MySQL driver; Metabase SQL Server driver","Determine the best-in-class Metabase database driver behavior for schema sync, field typing, fingerprinting, native query parameters, capability flags, and packaging so ScratchBird Metabase can be a first-class plugin rather than a thin experimental bridge.","docs/reference/best_in_class_driver_research_2026-04-03/metabase/","docs/audit/best_in_class_driver_gaps_2026-04-03/metabase/","docs/application-reference/METABASE_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/metabase.md; docs/getting-started/metabase.md; tracks/alpha/integrations/scratchbird-metabase-driver/README.md",P0
mojo,tracks/p3/drivers/mojo,hybrid_native_gap,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/DRIVER_MOJO_NATIVE_API.md; docs/planning/driver-checklists/mojo.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","Any native Mojo DB driver if it exists; Python bridgeable best-in-class relational drivers; low-level direct-wire drivers such as asyncpg/pgx/PostgresNIO as design anchors","Determine whether a true Mojo-native best-in-class comparator exists; if not, build a composite benchmark set and define the native transport, TLS, streaming, and type-wrapper bar ScratchBird Mojo must meet.","docs/reference/best_in_class_driver_research_2026-04-03/mojo/","docs/audit/best_in_class_driver_gaps_2026-04-03/mojo/","docs/specifications/DRIVER_MOJO_NATIVE_API.md; docs/api-reference/mojo.md; docs/getting-started/mojo.md",P0
node,tracks/p3/drivers/node,complete,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/drivers/language/nodejs-typescript/SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","node-postgres/pg; mysql2; tedious","Determine the strongest Node/TypeScript benchmark for connection config, prepared statements, cancellation, cursor streaming, metadata, types, and ergonomics; close any delta to that benchmark.","docs/reference/best_in_class_driver_research_2026-04-03/node/","docs/audit/best_in_class_driver_gaps_2026-04-03/node/","docs/specifications/drivers/language/nodejs-typescript/SPECIFICATION.md; docs/api-reference/node.md; docs/getting-started/node.md",P0
odbc,tracks/p3/drivers/odbc,partial,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/drivers/ODBC_DRIVER_SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","Microsoft ODBC Driver for SQL Server; psqlODBC; MySQL Connector/ODBC","Determine the strongest ODBC benchmark for metadata breadth, descriptor behavior, cursor semantics, diagnostics, and platform packaging; close ScratchBird ODBC’s remaining metadata gap and any competitive shortfalls.","docs/reference/best_in_class_driver_research_2026-04-03/odbc/","docs/audit/best_in_class_driver_gaps_2026-04-03/odbc/","docs/specifications/drivers/ODBC_DRIVER_SPECIFICATION.md; docs/api-reference/odbc.md; docs/getting-started/odbc.md",P0
