category_id,category_label,classification,beta1_requirement,notes
connection_config,Connection/config surface,at_parity,maintain_and_verify,Current lane truth is already competitive with TypeORM PostgreSQL driver in this category.
auth_tls,Auth/TLS/secrets,at_parity,maintain_and_verify,Current lane truth is already competitive with TypeORM PostgreSQL driver in this category.
bootstrap_protocol,Protocol/bootstrap/connect,at_parity,maintain_and_verify,Current lane truth is already competitive with TypeORM PostgreSQL driver in this category.
transaction_model,Transactions/savepoints,partial_gap,required_for_beta1,Current lane truth still trails TypeORM PostgreSQL driver in this category and requires explicit spec closure.
execution_lifecycle,Prepared/batching/generated keys/callable or equivalent,partial_gap,required_for_beta1,Current lane truth still trails TypeORM PostgreSQL driver in this category and requires explicit spec closure.
result_handling,Results/streaming/paging/cancellation,partial_gap,required_for_beta1,Current lane truth still trails TypeORM PostgreSQL driver in this category and requires explicit spec closure.
metadata_reflection,Metadata/schema discovery/reflection,partial_gap,required_for_beta1,Benchmarked metadata/reflection behavior in TypeORM PostgreSQL driver remains deeper than current ScratchBird lane truth.
type_fidelity,Type encode/decode and wrappers,partial_gap,required_for_beta1,Current lane truth still trails TypeORM PostgreSQL driver in this category and requires explicit spec closure.
error_surface,Error surfaces and diagnostics,partial_gap,required_for_beta1,Current lane truth still trails TypeORM PostgreSQL driver in this category and requires explicit spec closure.
pooling_resilience,Pooling/resilience/reconnect/cleanup,partial_gap,required_for_beta1,Current lane truth still trails TypeORM PostgreSQL driver in this category and requires explicit spec closure.
observability,Observability/diagnostics,partial_gap,required_for_beta1,Current lane truth still trails TypeORM PostgreSQL driver in this category and requires explicit spec closure.
packaging_release,Package layout/release artifacts/cadence,partial_gap,required_for_beta1,"TypeORM PostgreSQL driver currently sets a higher bar for packaging, releases, and install ergonomics."
performance,Performance and benchmark evidence,partial_gap,required_for_beta1,ScratchBird lacks benchmark-backed evidence at the level expected from TypeORM PostgreSQL driver.
ecosystem_fit,Language/tool/application ecosystem expectations,full_gap,required_for_beta1,TypeORM PostgreSQL driver is better aligned to mainstream ecosystem expectations today.
